date,equity,cash,position_value,open_positions,gross_exposure
2025-11-26,152393.66298082873,122281.0088641382,30112.654116690526,1,0.19759781035303764
2025-11-27,151329.80924231256,151329.80924231256,0.0,0,0.0
2025-11-30,151329.80924231256,151329.80924231256,0.0,0,0.0
2025-12-01,151329.80924231256,151329.80924231256,0.0,0,0.0
2025-12-02,151329.80924231256,151329.80924231256,0.0,0,0.0
2025-12-03,151329.80924231256,151329.80924231256,0.0,0,0.0
2025-12-04,151254.14433769142,121063.84739385005,30190.29694384136,1,0.19959979989994997
2025-12-07,151569.72290214724,121063.84739385005,30505.8755082972,1,0.201266288043501
2025-12-08,151815.17475449352,121063.84739385005,30751.327360643474,1,0.20255766533465902
2025-12-09,150833.37403307867,121063.84739385005,29769.52663922862,1,0.19736697418636265
2025-12-10,151148.95259753452,121063.84739385005,30085.10520368446,1,0.1990427633580254
2025-12-11,150728.18229292176,121063.84739385005,29664.334899071717,1,0.19680682436296296
2025-12-14,150868.43906112603,121063.84739385005,29804.591667275963,1,0.19755352314078295
2025-12-15,150167.1552201048,121063.84739385005,29103.30782625473,1,0.19380608085434584
2025-12-16,149823.50164126512,149823.50164126512,0.0,0,0.0
2025-12-17,149823.50164126512,149823.50164126512,0.0,0,0.0
2025-12-18,149823.50164126512,149823.50164126512,0.0,0,0.0
2025-12-21,149823.50164126512,149823.50164126512,0.0,0,0.0
2025-12-22,149748.58989044448,119858.8013130121,29889.78857743239,1,0.19959979989995
2025-12-23,149688.80899009653,89906.06314590924,59782.74584418729,2,0.3993801958043673
2025-12-24,150591.99634876125,89906.06314590924,60685.93320285201,2,0.4029824603845967
2025-12-25,150639.6964889571,89906.06314590924,60733.63334304786,2,0.4031715063067725
2025-12-28,152316.34031637,89906.06314590924,62410.27717046079,2,0.4097411810238545
2025-12-29,152843.11439918831,123285.60422849585,29557.510170692447,1,0.19338463683418253
2025-12-30,152737.3904991384,123285.60422849585,29451.786270642544,1,0.1928263025471074
2025-12-31,152811.98166374,92707.91905316018,60104.06261057983,2,0.39332035326155074
2026-01-04,151549.8264966181,121181.3052743795,30368.521222238614,1,0.20038638066613887
2026-01-05,150237.16868067122,150237.16868067122,0.0,0,0.0
